"0","幼童","幼兒","野柳",NA,NA,NA,NA,NA,NA,NA
"1","嬰兒","嬰幼兒","女童","女兒","幼童","幼兒","兒子","時","寶寶","寶貝"
"2","兒子","女兒","男童","嬰幼兒","時","女童","洪姓","男友","兒童","幼兒"
"3","女兒","兒子","男童","小孩","女童","幼童","小男孩","幼兒","時","女"
"4","兒子","女兒","小孩","男童","孩子","女童","奶嘴","小男孩","性成熟","男孩"
"5","女兒","女童","兒子","男童","張姓","娃","小女孩","幼兒","愛女","蔡姓"
"6","男童","孩童","兒子","時","女兒","哥哥","女童","小朋友","兒童","圈外"
"7","女兒","男童","女童","兒子","雙","小女孩","時","民眾","女孩","小孩"
"8","兒子","女友","女童","女兒","男童","修杰楷","胞胎","女孩","孩子","愛犬"
"9","兒子","女兒","女童","男童","台北","球僮","男","小女孩","女孩","小女"
"10","女兒","女童","男童","兒童","兒子","唱歌","繼子","大陸","女友","小朋友"
"11","女兒","女童","男童","兒子","劉亦菲","孩子","小女孩","張","中國","曾育晨"
"12","男童","兒子","女童","兒童","女孩","孩童","楊瀚","孩子","男星","民眾"
"13","少女","女兒","女童","兒子","女性","時","國","國二","王","男孩"
"14","少女","女兒","女子","女孩","世界","公分","兒子","學生","男女","胡姓"
"15","少女","女兒","青少年","歐陽","女子","僱者","男生","女孩","學生","兒子"
"16","少女","女兒","活動","青少年","大人","後","時","禮體驗","陳姓","駱"
"17","少女","高中生","學生","青少年","時","年紀","男","韓德森","蔡姓","陳姓"
"18","學生","男性","青少年","少女","畢業","布朗","後","時","非裔","學學"
"19","女兒","女","消防","少女","男子","大學","青少年","李姓","女子","戰士"
"20","民眾","女子","男子","女兒","林冠","女性","張姓","人","少女","男性"
"21","張姓","陳姓","n","男子","蔡姓","星座","李姓","林姓","王姓","白人"
"22","男子","女","陳姓","李姓","國","大學","女子","女性","宋芸樺","射手"
"23","女子","張姓","男子","林姓","n","公分","孫楊","年紀","異性","郭俊麟"
"24","記者","文字","男子","失業率","黃姓","女子","人","兒子","李姓","楊姓"
"25","摩洛哥","男子","女性","後","女子","人","男性","兒子","時","高姓"
"26","摩洛哥","男子","吳姓","日本","女子","陳姓","羅姓","男性","n","公分"
"27","攝影","男子","女性","女子","黃姓","印尼","沃德","霍姆斯","高姓","劉亦菲"
"28","男子","陳姓","林姓","土耳其","陽岱","劉姓","女子","女星","男性","黃姓"
"29","男子","父母","失業","人失","失業率","女子","女星","族群","林姓","梅根"
"30","男子","人","女子","後","林姓","男性","女性","黃姓","民眾","吳姓"
"31","張姓","女子","陳姓","男子","克拉","林姓","女兒","安姓","黃姓","劉姓"
"32","男子","陳妍","吳姓","陳姓","日本","盧彥勳","男性","美女","陳妍希","女"
"33","陳姓","林姓","男子","林志傑","王姓","事網","孫女","彭于晏","汪東城","蘇"
"34","男子","族群","陳姓","黃姓","人","女星","孔姓","林姓","女子","岩"
"35","男性","陳姓","印尼","男子","林姓","邱姓","張姓","女子","曹姓","吳姓"
"36","李姓","男子","阿特利","黃姓","女性","陳姓","林姓","王姓","章子怡","吳佩慈"
"37","男子","林姓","陳姓","溫姓","日本","郭姓","黃姓","朱姓","吳姓","布萊恩"
"38","宋承憲","男子","吳姓","黃姓","女子","老將","李姓","陳姓","利姓","張姓"
"39","失業","林姓","男子","黃姓","族群","單身","失業長","陳姓","劉姓","年齡"
"40","男性","男子","後","賈靜雯","高齡","Vivian","陳姓","女性","女子","林姓"
"41","非裔","鈴木","王姓","林姓","黃姓","男子","佛蘭納根","女子","陳姓","高姓"
"42","李姓","小馬","德國","王姓","男子","高齡","黃姓","人力","林姓","柯隆"
"43","男子","林姓","羅姓","陳姓","工人","康崔","廖姓","女兒","威克","日本"
"44","男子","朱姓","郭姓","年收入","德州","法國","男","世界","共","劉建明"
"45","男子","男性","郭姓","妻子","楊姓","後","美國","葛","詹姓","鄭姓"
"46","伊能靜","珍妮佛","男子","劉若英","李姓","葛瑞","陶喆","黃姓","林姓","n"
"47","男子","陳姓","佛斯","席琳","宋","張姓","徐姓婦","許姓","徐姓","n"
"48","男子","陳姓","高姓","黃姓","李姓筍","動人","許為榮","n","同事","墨西哥"
"49","李姓","林姓","天","男子","江姓","年紀","彭姓","涂善妮","伊姓","婦人"
"50","男子","陳姓","後","族群","民眾","婦人","男性","張姓","林姓","女子"
"51","男子","工人","凱利","林姓","美國","郭姓","洛夫","老師","徐姓","陳姓"
"52","楊姓","男子","蕭姓","黃姓","強史","王姓","金恩","鍾","昆哥","林姓"
"53","陳姓","柯","王姓","男子","獵人","莫爾查諾娃","金子","劉姓","夏恆仁","婦人"
"54","男子","吳姓","林姓","葉姓","n","張學友","美國","鄉村","鄭姓","鍾"
"55","男子","楊姓","魔女","陳姓","柯寧科","計程","長者","名失","回老家","國民"
"56","陳姓","男子","林姓","仲","妻子","蔡","藝人","AV","婦人","李姓"
"57","莎朗","男子","陳姓","楊姓婦","胡姓","賀姓","帕達卡","徐姓","楊姓","鄭姓"
"58","林姓","簡姓","黃姓","大陸","婦人","溫姓","男子","李姓","先生","哥哥"
"59","作家","湯","族群","湯姓","苦苓","陳塗水","黃姓","公關","學歷","客車"
"60","長者","婦人","糖尿病","後","林姓","男子","大壽","父母","女性","貨車"
"61","男子","陳姓","丁玉燕","何姓","婦人","楊棟梁","萬達","陳","陳鴻猷","侯文欽"
"62","男子","英國","陳","埃及","女","中山","台","安迪","梁孟松","沈姓"
"63","崔英健","李光耀","男子","程姓","李姓","林姓","王儲瓦","男性","經歷","阿嬤"
"64","男子","成人","林姓","陳建仁","工作","譚姓","人士","譚詠","加拿大人","含糖"
"65","長者","人口","老人","老年人","女性","李姓","高齡","婦女","男子","之虞"
"66","查爾斯","周姓","大神","李姓","老翁","蘇姓","黃姓","劉姓","李婦","父親"
"67","陳姓","女子","陳","威索","希拉","朗格","洪秀柱","老翁","視障","陳男"
"68","老婦","林姓","酆","AV","傅","塞斯","奧斯卡","婦人","張姓民","董姓"
"69","川普","婦人","婦女","工","英國","藝術家","吳德明","女性","普","老婦"
"70","老婦","長者","老人","人","林姓","胡姓","母親","男性","老者","阿公"
"71","女性","哈薩達","王姓","男女","丈夫","瑜","巴赫","江林",NA,NA
"72","拜登","李","宋楚瑜","王姓","畢紹普","蔡姓","青山",NA,NA,NA
"73","林姓","老翁","男子","男性","宋楚瑜","司忍","柯姓","民主","許永忠","婦人"
"74","婦人","林姓","老婦","老翁","阿公","阿美族","高素","抗癌","比例","王姓"
"75","身體","比丘尼","林茂宏","農","陳姓","樂師","婦人","族群","栗原","張紀祖"
"76","阿伯","黃姓","妻子","王姓","盧姓","老伯","老師","郭姓","阿婆","阿嬤"
"77","阿嬤","勇嬤","吳","簡","二房","佛","吳阿嬤","因涉嫌","媽媽","張姓"
"78","男性","柯阿嬤","郭爺","阿嬤","妻子","摩根","林姓","石姓","華倫","農"
"79","謝賢","林姓","木雕","波丁","資深","友人","大壽","小澤征","兒子","婦人"
"80","老翁","婦人","曾江","阿公","阿嬤","陳","大壽","王姓","太太","巴蕾娃"
"81","張姓","老翁","傅姓","崔姓","男子","老先生","吳","張姓母","日皇","母親"
"82","考古","老翁","蔡","林姓","美國","老奶奶","媽媽","謝姓","阿公","阿嬤"
"83","詹","老翁","胡楓","司馬","夫妻","李姓","柯石","母親","老太太","阿嬤許"
"84","謝姓","阿嬤","伍守謙","傘","呂福祿","巴菲特","老人","聯合國","高居",NA
"85","長者","二水","傳奇","吳鴻源","德林","醫療","老人","阿公","陳賜兵","高齡"
"86","捷克","谷口","攝影","阿美族","林姓","瑞典","老婦","老父","葉姓","身價"
"87","老翁","男性","男子","泰王","婆婆","李嘉誠","梁","中西","老父",NA
"88","伯伯","司榮寶","戴師母","李","何","史","夏政安","粉絲","羅慧夫","黃江端"
"89","時","女王","山田","江澤民","祖母","高齡","伊莉莎白","婦人","老嫗","英國"
"90","卡特","美國","長者","劉姓","吳","老人家","長輩","井","劉","大壽"
"91","老婦","老翁","葛姓","長者","吳","臥病","何姓","凌","塔瓦","老嬤李"
"92","王瑞山","高齡","王姓","何姓","老翁","阿公","李元簇","總統","劉玉光","活"
"93","人瑞","荷蘭","老婦","神父","高齡","人","外婆","李登輝","楊雲貴","畢耀遠"
"94","小桃","奶奶","潘","男女",NA,NA,NA,NA,NA,NA
"95","陳朝聰","李阿媽","郝柏村",NA,NA,NA,NA,NA,NA,NA
"96","外婆","老兵","n","飛虎隊",NA,NA,NA,NA,NA,NA
"97","老兵","阿婆",NA,NA,NA,NA,NA,NA,NA,NA
"98","母親","晚婚","甘霖",NA,NA,NA,NA,NA,NA,NA
"99","人瑞","抗戰",NA,NA,NA,NA,NA,NA,NA,NA
"100","智","人瑞","劉","高齡",NA,NA,NA,NA,NA,NA
"101","高齡","陳萬成",NA,NA,NA,NA,NA,NA,NA,NA
"102","妻子","彼特","王姓","陳姓","陳新賜",NA,NA,NA,NA,NA
"103","高齡","前空軍","奶奶","王一志","資深",NA,NA,NA,NA,NA
"104","","","","","","","","","",""
"105","","","","","","","","","",""
"106","人瑞","宋發棟",NA,NA,NA,NA,NA,NA,NA,NA
"110","","","","","","","","","",""
"112","","","","","","","","","",""
"115","","","","","","","","","",""
"117","","","","","","","","","",""
"120","","","","","","","","","",""
"122","","","","","","","","","",""
"126","","","","","","","","","",""
"130","","","","","","","","","",""
"136","","","","","","","","","",""
"140","","","","","","","","","",""
"148","","","","","","","","","",""
"150","","","","","","","","","",""
"156","","","","","","","","","",""
"200","","","","","","","","","",""
"250","","","","","","","","","",""
"300","","","","","","","","","",""
"307","","","","","","","","","",""
"310","","","","","","","","","",""
"400","","","","","","","","","",""
"700","","","","","","","","","",""
"1000","","","","","","","","","",""
"1600","","","","","","","","","",""
"2880","","","","","","","","","",""
"9000","","","","","","","","","",""
